,candle_begin_time,open,high,low,close,volume,volume_value,pos,start_time,equity_change,equity_curve
83,2005-05-17,806.81,821.05,803.42,818.46,4955082,2184321836,-1.0,2005-04-19,-0.010382747116864155,1.051332028384391
84,2005-05-18,818.12,824.77,811.04,824.64,4558077,1982282524,-1.0,2005-04-19,-0.006301125341037439,1.044707453498494
85,2005-05-19,824.83,828.58,814.15,824.94,4776276,2170371655,-1.0,2005-04-19,-0.0003078194800503198,1.0443858721933532
86,2005-05-20,824.57,828.08,818.36,819.13,4327522,1945065867,-1.0,2005-04-19,0.0059632728751977115,1.0506138301362435
87,2005-05-23,816.19,816.19,793.05,793.72,4312715,1802802915,-1.0,2005-04-19,0.02592573575952306,1.0778517666816563
88,2005-05-24,791.13,811.67,788.82,808.74,4695292,1976718785,-1.0,2005-04-19,-0.01493758651087651,1.061751262670948
89,2005-05-25,808.52,817.67,803.94,809.7,5294538,2206568910,-1.0,2005-04-19,-0.0009692102214801102,1.060722202494498
90,2005-05-26,808.66,812.69,795.43,799.02,4838787,2104358596,-1.0,2005-04-19,0.010792924326542774,1.072170496957505
91,2005-05-27,797.18,806.25,789.86,791.0,4167632,1818239407,-1.0,2005-04-19,0.00801825852183824,1.080767437181598
92,2005-05-30,788.64,799.4,783.85,797.53,3848708,1627664116,-1.0,2005-04-19,-0.006476650604390732,1.0737676841063701
93,2005-05-31,798.33,802.04,793.88,796.87,4299737,1769831486,-1.0,2005-04-19,0.0006588751754978972,1.0744751629776796
94,2005-06-01,795.82,795.82,774.35,778.67,4648727,1920798554,-1.0,2005-04-19,0.018157018903194988,1.0939844288228788
95,2005-06-02,777.47,779.23,764.15,769.42,4950638,2099951737,-1.0,2005-04-19,0.00906358748253755,1.1038998523980488
96,2005-06-03,767.67,772.83,755.25,765.97,4586315,1841785231,-1.0,2005-04-19,0.0033501091616991996,1.107598037407166
97,2005-06-06,764.66,778.4,751.32,778.21,4763543,1973905289,-1.0,2005-04-19,-0.011845919554401618,1.0944775201574275
98,2005-06-07,779.72,795.42,776.12,779.84,7087300,3116981334,-1.0,2005-04-19,-0.0015964315323225842,1.09273026173283
99,2005-06-08,782.01,845.06,782.01,841.36,14973544,6612786780,-1.0,2005-04-19,-0.060106388528520904,1.0270501920642443
100,2005-06-09,840.23,858.75,829.28,849.72,15311452,7083905756,0.0,,0.0,1.0270501920642443
101,2005-06-10,850.02,850.02,827.75,831.6,10035948,4618584575,0.0,,0.0,1.0270501920642443
102,2005-06-13,830.8,837.38,818.58,834.25,6894839,3143331122,0.0,,0.0,1.0270501920642443
103,2005-06-14,835.35,841.33,817.53,818.19,7401587,3214101518,0.0,,0.0,1.0270501920642443
104,2005-06-15,815.73,815.73,794.85,796.26,5884532,2611882535,0.0,,0.0,1.0270501920642443
105,2005-06-16,795.75,804.04,786.01,803.94,5514482,2463681172,0.0,,0.0,1.0270501920642443
106,2005-06-17,805.75,809.58,796.89,800.14,5478499,2541412672,0.0,,0.0,1.0270501920642443
107,2005-06-20,799.47,823.91,786.43,823.73,7966477,3695814708,0.0,,0.0,1.0270501920642443
108,2005-06-21,823.54,824.04,813.28,816.2,6385113,2928451825,1.0,2005-06-21,-0.009960576426877754,1.016820180131949
109,2005-06-22,814.91,819.49,808.77,818.65,4992737,2228747206,1.0,2005-06-21,0.003004223800771033,1.0198749355182057
110,2005-06-23,818.19,821.46,808.56,809.35,5246659,2368349381,1.0,2005-06-21,-0.011369631387746493,1.008279333439762
111,2005-06-24,807.68,813.28,802.49,813.2,4276755,1868202982,1.0,2005-06-21,0.00476091270889456,1.013079663332451
112,2005-06-27,817.28,838.42,817.28,834.35,9280984,4445204662,1.0,2005-06-21,0.02603017747855718,1.0394503067689116
113,2005-06-28,832.15,832.15,817.29,819.05,5747787,2677620074,1.0,2005-06-21,-0.01835261921922815,1.020373671091472
114,2005-06-29,818.09,821.08,813.08,814.06,5149890,2397803068,1.0,2005-06-21,-0.008252721217068326,1.0119528116467174
115,2005-06-30,813.15,813.15,790.76,791.5,5354700,2487038569,0.0,,0.0,1.0119528116467174
116,2005-07-01,789.18,789.18,758.71,760.35,6469073,2803467961,-1.0,2005-07-01,0.035472174101461196,1.0478489779639129
117,2005-07-04,756.03,756.03,732.86,749.48,5909702,2464867355,-1.0,2005-07-01,0.013298393085211524,1.0617836855668141
118,2005-07-05,747.89,752.77,739.62,744.6,4391463,1957584553,-1.0,2005-07-01,0.0058918555402511785,1.0680395616571692
119,2005-07-06,744.79,750.3,738.38,743.44,4280243,1849285309,-1.0,2005-07-01,0.0013923196917664526,1.06952661417045
120,2005-07-07,743.32,751.13,740.48,747.42,3925135,1689526507,-1.0,2005-07-01,-0.004770454875213659,1.0644244857197098
